condition_idx,identity,source_image,transformation,transformation_tier,transformation_category,detector_success,quality_flag_blur,quality_flag_low_light,quality_flag_noise,quality_flag_off_pose,quality_flag_small_face,quality_any_flag,quality_blur_var,quality_luma_mean,quality_noise_sigma,quality_pose_angle,quality_face_px,lbph_name,lbph_distance,lbph_margin,sface_name,sface_cosine,sface_l2,always_lbph_pred,always_lbph_correct,direct_sface_pred,direct_sface_correct,seq_cascade_pred,seq_cascade_correct,seq_cascade_reason,seq_cascade_sface_invoked,quality_only_pred,quality_only_correct,quality_only_reason,early_bypass_pred,early_bypass_correct,early_bypass_reason,early_bypass_routing_path,early_bypass_lbph_invoked,early_bypass_sface_invoked,latency_always_lbph_ms,latency_direct_sface_ms,latency_seq_cascade_ms,latency_quality_only_ms,latency_early_bypass_ms
11,Andrew_Eroyla,dark_name.jpg,gaussnoise_8,medium,Gaussian noise,True,False,False,False,False,False,False,1929.666,71.73,7.354,1.97,75,Andrew_Eroyla,68.7132,0.0355,Andrew_Eroyla,0.8622,0.5249,Unknown,False,Andrew_Eroyla,True,Andrew_Eroyla,True,ambiguous_band,True,Unknown,False,quality_router_lbph_reject,Andrew_Eroyla,True,ambiguous_band,quality_clear_dual_sface,True,True,4.537,8.206,12.813,5.962,13.76
12,Andrew_Eroyla,dark_name.jpg,gaussnoise_4,light,Gaussian noise,True,False,False,False,False,False,False,1493.465,71.74,5.24,1.72,79,Andrew_Eroyla,66.0107,0.0559,Andrew_Eroyla,0.8988,0.4499,Andrew_Eroyla,True,Andrew_Eroyla,True,Andrew_Eroyla,True,confident_accept,False,Andrew_Eroyla,True,quality_router_lbph_accept,Andrew_Eroyla,True,confident_accept,quality_clear_lbph_terminal,True,False,4.9,8.311,4.709,4.581,4.599
13,Andrew_Eroyla,dark_name.jpg,histeq,light,Histogram equalization,True,False,False,True,False,False,True,5988.116,128.41,8.783,1.13,76,Andrew_Eroyla,66.1613,0.0833,Andrew_Eroyla,0.8705,0.5089,Andrew_Eroyla,True,Andrew_Eroyla,True,Andrew_Eroyla,True,quality:noise,True,Andrew_Eroyla,True,quality_router_sface:noise,Andrew_Eroyla,True,quality:noise,quality_triggered_sface,False,True,4.556,8.281,12.922,10.632,8.394
14,Andrew_Eroyla,dark_name.jpg,autolevel,light,Auto-levels,True,False,False,False,False,False,False,3035.214,99.99,5.895,1.55,77,Andrew_Eroyla,64.3262,0.0732,Andrew_Eroyla,0.9111,0.4218,Andrew_Eroyla,True,Andrew_Eroyla,True,Andrew_Eroyla,True,confident_accept,False,Andrew_Eroyla,True,quality_router_lbph_accept,Andrew_Eroyla,True,confident_accept,quality_clear_lbph_terminal,True,False,4.52,9.801,5.033,4.737,4.905
15,Andrew_Eroyla,dark_name.jpg,blur_7,heavy,Blur,True,True,False,False,False,False,True,24.018,72.16,0.341,1.48,73,Andrew_Eroyla,72.7989,0.0914,Andrew_Eroyla,0.8598,0.5296,Unknown,False,Andrew_Eroyla,True,Andrew_Eroyla,True,quality:blur,True,Andrew_Eroyla,True,quality_router_sface:blur,Andrew_Eroyla,True,quality:blur,quality_triggered_sface,False,True,4.763,8.657,13.682,8.722,8.904
16,Andrew_Eroyla,dark_name.jpg,blur_5,medium,Blur,True,True,False,False,False,False,True,52.286,72.21,0.382,1.68,78,Andrew_Eroyla,68.2089,0.0956,Andrew_Eroyla,0.8936,0.4614,Unknown,False,Andrew_Eroyla,True,Andrew_Eroyla,True,quality:blur,True,Andrew_Eroyla,True,quality_router_sface:blur,Andrew_Eroyla,True,quality:blur,quality_triggered_sface,False,True,4.345,8.071,12.664,8.369,8.069
17,Andrew_Eroyla,dark_name.jpg,blur_3,light,Blur,True,True,False,False,False,False,True,116.668,72.26,0.545,1.76,78,Andrew_Eroyla,65.7674,0.0778,Andrew_Eroyla,0.9004,0.4464,Andrew_Eroyla,True,Andrew_Eroyla,True,Andrew_Eroyla,True,quality:blur,True,Andrew_Eroyla,True,quality_router_sface:blur,Andrew_Eroyla,True,quality:blur,quality_triggered_sface,False,True,4.839,8.388,12.451,8.616,8.617
18,Andrew_Eroyla,dark_name.jpg,rot_270,heavy,Rotation,True,False,False,False,False,False,False,1354.388,72.22,3.913,6.72,74,Daniel_Ramos,87.7955,0.015,Unknown,0.1648,1.2925,Unknown,False,Unknown,False,Unknown,False,ambiguous_band,True,Unknown,False,quality_router_lbph_reject,Unknown,False,ambiguous_band,quality_clear_dual_sface,True,True,4.426,7.73,12.767,4.812,12.363
19,Andrew_Eroyla,dark_name.jpg,rot_180,medium,Rotation,True,False,False,False,False,False,False,1354.388,72.22,3.913,2.47,83,Julian_Diego_Mapa,83.7665,0.0124,Unknown,0.1958,1.2683,Unknown,False,Unknown,False,Unknown,False,ambiguous_band,True,Unknown,False,quality_router_lbph_reject,Unknown,False,ambiguous_band,quality_clear_dual_sface,True,True,4.759,8.123,13.42,4.877,13.561
20,Andrew_Eroyla,dark_name.jpg,rot_90,light,Rotation,False,False,False,False,False,False,False,,,,,,,,,,,,Unknown,False,Unknown,False,Unknown,False,detector_failure,False,Unknown,False,,Unknown,False,detector_failure,detector_failure,False,False,0.0,0.0,0.0,0.0,0.0
21,Andrew_Eroyla,dark_name.jpg,rot_45,heavy,Simple rotation,True,False,False,False,False,False,False,725.081,73.12,3.182,7.38,87,Francis_Cromwell_Tan,87.7464,0.0038,Unknown,0.1515,1.3027,Unknown,False,Unknown,False,Unknown,False,ambiguous_band,True,Unknown,False,quality_router_lbph_reject,Unknown,False,ambiguous_band,quality_clear_dual_sface,True,True,4.638,7.86,12.556,4.826,13.278
22,Andrew_Eroyla,dark_name.jpg,rot_25,medium,Simple rotation,True,False,False,False,False,False,False,762.194,74.8,2.781,1.25,89,Kim_Ivan_Arigorat,88.9438,0.0098,Unknown,0.3977,1.0975,Unknown,False,Unknown,False,Unknown,False,ambiguous_band,True,Unknown,False,quality_router_lbph_reject,Unknown,False,ambiguous_band,quality_clear_dual_sface,True,True,4.643,7.956,13.058,4.619,13.375
23,Andrew_Eroyla,dark_name.jpg,rot_10,light,Simple rotation,True,True,False,False,False,False,True,574.643,73.34,1.949,3.62,78,Andrew_Eroyla,73.7235,0.0617,Andrew_Eroyla,0.8927,0.4633,Unknown,False,Andrew_Eroyla,True,Andrew_Eroyla,True,quality:blur,True,Andrew_Eroyla,True,quality_router_sface:blur,Andrew_Eroyla,True,quality:blur,quality_triggered_sface,False,True,4.898,9.144,13.392,8.923,8.69
24,Andrew_Eroyla,dark_name.jpg,scale_50,heavy,Scaling,False,False,False,False,False,False,False,,,,,,,,,,,,Unknown,False,Unknown,False,Unknown,False,detector_failure,False,Unknown,False,,Unknown,False,detector_failure,detector_failure,False,False,0.0,0.0,0.0,0.0,0.0
25,Andrew_Eroyla,dark_name.jpg,scale_70,medium,Scaling,True,False,False,False,False,True,True,1216.805,71.3,3.385,1.59,56,Norbert_Audines,90.6973,0.0031,Andrew_Eroyla,0.8842,0.4812,Unknown,False,Andrew_Eroyla,True,Andrew_Eroyla,True,quality:small_face,True,Andrew_Eroyla,True,quality_router_sface:small_face,Andrew_Eroyla,True,quality:small_face,quality_triggered_sface,False,True,4.946,8.628,13.845,8.896,9.294
26,Andrew_Eroyla,dark_name.jpg,scale_90,light,Scaling,True,False,False,False,False,False,False,759.428,73.66,2.32,0.67,72,Andrew_Eroyla,72.5681,0.041,Andrew_Eroyla,0.8975,0.4528,Unknown,False,Andrew_Eroyla,True,Andrew_Eroyla,True,ambiguous_band,True,Unknown,False,quality_router_lbph_reject,Andrew_Eroyla,True,ambiguous_band,quality_clear_dual_sface,True,True,5.079,9.908,15.958,5.429,15.283
27,Andrew_Eroyla,dark_name.jpg,trans_30,heavy,Translation,True,False,False,False,False,False,False,1582.004,65.96,4.69,17.46,62,Andrew_Eroyla,95.588,0.0092,Andrew_Eroyla,0.8571,0.5347,Unknown,False,Andrew_Eroyla,True,Andrew_Eroyla,True,ambiguous_band,True,Unknown,False,quality_router_lbph_reject,Andrew_Eroyla,True,ambiguous_band,quality_clear_dual_sface,True,True,4.361,8.312,12.703,4.649,13.082
28,Andrew_Eroyla,dark_name.jpg,trans_20,medium,Translation,True,False,False,False,False,False,False,1667.431,69.34,4.476,4.67,70,Mary_Jade_Jakosalem,89.991,0.0118,Andrew_Eroyla,0.8952,0.4579,Unknown,False,Andrew_Eroyla,True,Andrew_Eroyla,True,ambiguous_band,True,Unknown,False,quality_router_lbph_reject,Andrew_Eroyla,True,ambiguous_band,quality_clear_dual_sface,True,True,4.55,9.58,14.285,5.628,13.249
29,Andrew_Eroyla,dark_name.jpg,trans_10,light,Translation,True,False,False,False,False,False,False,1619.635,72.43,4.412,1.5,82,Norbert_Audines,84.2432,0.0287,Andrew_Eroyla,0.8847,0.4802,Unknown,False,Andrew_Eroyla,True,Andrew_Eroyla,True,ambiguous_band,True,Unknown,False,quality_router_lbph_reject,Andrew_Eroyla,True,ambiguous_band,quality_clear_dual_sface,True,True,4.484,7.923,12.934,4.829,12.849
30,Andrew_Eroyla,dark_name.jpg,flip_lr,light,Flip,True,False,False,False,False,False,False,1354.388,72.22,3.913,1.92,77,Yuan_Paulo_Sebastian_Belen,71.877,0.0062,Andrew_Eroyla,0.9088,0.427,Unknown,False,Andrew_Eroyla,True,Andrew_Eroyla,True,ambiguous_band,True,Unknown,False,quality_router_lbph_reject,Andrew_Eroyla,True,ambiguous_band,quality_clear_dual_sface,True,True,4.586,8.607,13.34,5.34,12.96
31,Andrew_Eroyla,dark_name.jpg,aspect_6_3,medium,Aspect ratio change,True,True,False,False,False,False,True,487.236,72.39,1.024,0.81,73,Andrew_Eroyla,65.9098,0.116,Andrew_Eroyla,0.8857,0.4781,Andrew_Eroyla,True,Andrew_Eroyla,True,Andrew_Eroyla,True,quality:blur,True,Andrew_Eroyla,True,quality_router_sface:blur,Andrew_Eroyla,True,quality:blur,quality_triggered_sface,False,True,4.458,8.6,13.958,9.342,8.488
32,Andrew_Eroyla,dark_name.jpg,aspect_16_9,light,Aspect ratio change,True,True,False,False,False,False,True,504.281,72.13,1.079,1.2,73,Andrew_Eroyla,65.3144,0.123,Andrew_Eroyla,0.8803,0.4893,Andrew_Eroyla,True,Andrew_Eroyla,True,Andrew_Eroyla,True,quality:blur,True,Andrew_Eroyla,True,quality_router_sface:blur,Andrew_Eroyla,True,quality:blur,quality_triggered_sface,False,True,4.514,8.022,12.627,8.253,8.247
33,Andrew_Eroyla,dark_name.jpg,crop_60,heavy,Crop,True,True,False,False,False,False,True,175.525,71.17,0.907,1.55,96,Andrew_Eroyla,76.1212,0.0048,Andrew_Eroyla,0.8098,0.6168,Unknown,False,Andrew_Eroyla,True,Andrew_Eroyla,True,quality:blur,True,Andrew_Eroyla,True,quality_router_sface:blur,Andrew_Eroyla,True,quality:blur,quality_triggered_sface,False,True,4.636,8.5,13.496,8.455,8.557
34,Andrew_Eroyla,dark_name.jpg,crop_70,medium,Crop,True,True,False,False,False,False,True,243.447,69.74,1.146,2.51,91,Andrew_Eroyla,70.4617,0.0533,Andrew_Eroyla,0.8141,0.6097,Unknown,False,Andrew_Eroyla,True,Andrew_Eroyla,True,quality:blur,True,Andrew_Eroyla,True,quality_router_sface:blur,Andrew_Eroyla,True,quality:blur,quality_triggered_sface,False,True,4.938,10.117,15.961,10.695,10.291
35,Andrew_Eroyla,dark_name.jpg,crop_90,light,Crop,True,True,False,False,False,False,True,473.799,69.7,1.618,3.0,79,Andrew_Eroyla,63.8373,0.0803,Andrew_Eroyla,0.8949,0.4585,Andrew_Eroyla,True,Andrew_Eroyla,True,Andrew_Eroyla,True,quality:blur,True,Andrew_Eroyla,True,quality_router_sface:blur,Andrew_Eroyla,True,quality:blur,quality_triggered_sface,False,True,4.453,8.015,12.941,8.087,8.036
36,Andrew_Eroyla,dark_name.jpg,skew_10,heavy,Skew,True,False,False,False,False,False,False,797.874,72.93,2.596,2.98,74,Andrew_Eroyla,66.4395,0.0784,Andrew_Eroyla,0.9132,0.4167,Andrew_Eroyla,True,Andrew_Eroyla,True,Andrew_Eroyla,True,confident_accept,False,Andrew_Eroyla,True,quality_router_lbph_accept,Andrew_Eroyla,True,confident_accept,quality_clear_lbph_terminal,True,False,5.534,8.384,5.071,5.148,5.085
37,Andrew_Eroyla,dark_name.jpg,skew_6,medium,Skew,True,False,False,False,False,False,False,807.737,72.63,2.498,3.98,78,Andrew_Eroyla,62.2537,0.1168,Andrew_Eroyla,0.9085,0.4277,Andrew_Eroyla,True,Andrew_Eroyla,True,Andrew_Eroyla,True,confident_accept,False,Andrew_Eroyla,True,quality_router_lbph_accept,Andrew_Eroyla,True,confident_accept,quality_clear_lbph_terminal,True,False,5.34,8.607,5.91,5.009,4.895
38,Andrew_Eroyla,dark_name.jpg,skew_4,light,Skew,True,False,False,False,False,False,False,818.297,72.49,2.635,3.22,78,Andrew_Eroyla,63.7068,0.0893,Andrew_Eroyla,0.9066,0.4322,Andrew_Eroyla,True,Andrew_Eroyla,True,Andrew_Eroyla,True,confident_accept,False,Andrew_Eroyla,True,quality_router_lbph_accept,Andrew_Eroyla,True,confident_accept,quality_clear_lbph_terminal,True,False,6.153,9.902,6.145,5.713,5.184
39,Andrew_Eroyla,dark_name.jpg,persp_10,heavy,Perspective,True,False,False,False,False,False,False,785.366,72.62,2.141,1.11,70,Andrew_Eroyla,73.6202,0.0573,Andrew_Eroyla,0.7871,0.6525,Unknown,False,Andrew_Eroyla,True,Andrew_Eroyla,True,ambiguous_band,True,Unknown,False,quality_router_lbph_reject,Andrew_Eroyla,True,ambiguous_band,quality_clear_dual_sface,True,True,4.417,8.127,12.659,4.732,12.575
40,Andrew_Eroyla,dark_name.jpg,persp_6,medium,Perspective,True,False,False,False,False,False,False,732.782,73.47,2.091,0.85,74,Andrew_Eroyla,68.8582,0.0659,Andrew_Eroyla,0.8644,0.5207,Unknown,False,Andrew_Eroyla,True,Andrew_Eroyla,True,ambiguous_band,True,Unknown,False,quality_router_lbph_reject,Andrew_Eroyla,True,ambiguous_band,quality_clear_dual_sface,True,True,4.754,8.916,14.515,4.871,14.034
41,Andrew_Eroyla,dark_name.jpg,persp_4,light,Perspective,True,False,False,False,False,False,False,697.887,73.75,2.058,0.56,75,Andrew_Eroyla,67.5148,0.0804,Andrew_Eroyla,0.8801,0.4896,Unknown,False,Andrew_Eroyla,True,Andrew_Eroyla,True,ambiguous_band,True,Unknown,False,quality_router_lbph_reject,Andrew_Eroyla,True,ambiguous_band,quality_clear_dual_sface,True,True,4.822,7.955,12.962,4.463,12.859
42,Andrew_Eroyla,light_name.jpg,brightness_p25,heavy,Brightness change,True,False,False,False,False,False,False,5983.561,132.89,7.118,2.67,80,Andrew_Eroyla,67.2265,0.0973,Andrew_Eroyla,0.8901,0.4688,Unknown,False,Andrew_Eroyla,True,Andrew_Eroyla,True,ambiguous_band,True,Unknown,False,quality_router_lbph_reject,Andrew_Eroyla,True,ambiguous_band,quality_clear_dual_sface,True,True,4.729,8.341,13.572,5.181,13.452
43,Andrew_Eroyla,light_name.jpg,brightness_p20,medium,Brightness change,True,False,False,False,False,False,False,5619.94,127.77,6.883,2.54,80,Andrew_Eroyla,67.0721,0.0906,Andrew_Eroyla,0.889,0.4711,Unknown,False,Andrew_Eroyla,True,Andrew_Eroyla,True,ambiguous_band,True,Unknown,False,quality_router_lbph_reject,Andrew_Eroyla,True,ambiguous_band,quality_clear_dual_sface,True,True,6.22,8.465,14.278,6.366,14.273
44,Andrew_Eroyla,light_name.jpg,brightness_p10,light,Brightness change,True,False,False,False,False,False,False,4770.561,117.18,6.349,4.37,79,Andrew_Eroyla,67.3461,0.0883,Andrew_Eroyla,0.8977,0.4523,Unknown,False,Andrew_Eroyla,True,Andrew_Eroyla,True,ambiguous_band,True,Unknown,False,quality_router_lbph_reject,Andrew_Eroyla,True,ambiguous_band,quality_clear_dual_sface,True,True,4.955,8.233,13.476,4.97,14.301
45,Andrew_Eroyla,light_name.jpg,monochrome,light,Colour to monochrome,True,False,False,False,False,False,False,3954.88,106.93,5.757,6.16,78,Andrew_Eroyla,67.3265,0.0947,Andrew_Eroyla,0.8599,0.5294,Unknown,False,Andrew_Eroyla,True,Andrew_Eroyla,True,ambiguous_band,True,Unknown,False,quality_router_lbph_reject,Andrew_Eroyla,True,ambiguous_band,quality_clear_dual_sface,True,True,4.564,7.783,12.412,4.596,12.74
46,Andrew_Eroyla,light_name.jpg,jpeg_q30,heavy,JPEG compression,True,False,False,False,False,False,False,2995.236,106.9,1.666,3.67,81,Andrew_Eroyla,70.1833,0.057,Andrew_Eroyla,0.8624,0.5245,Unknown,False,Andrew_Eroyla,True,Andrew_Eroyla,True,ambiguous_band,True,Unknown,False,quality_router_lbph_reject,Andrew_Eroyla,True,ambiguous_band,quality_clear_dual_sface,True,True,4.434,8.594,14.219,5.264,13.499
47,Andrew_Eroyla,light_name.jpg,jpeg_q60,medium,JPEG compression,True,False,False,False,False,False,False,3451.493,107.02,2.481,1.96,79,Andrew_Eroyla,68.4965,0.0612,Andrew_Eroyla,0.8801,0.4897,Unknown,False,Andrew_Eroyla,True,Andrew_Eroyla,True,ambiguous_band,True,Unknown,False,quality_router_lbph_reject,Andrew_Eroyla,True,ambiguous_band,quality_clear_dual_sface,True,True,4.418,8.096,13.311,4.552,12.7
48,Andrew_Eroyla,light_name.jpg,jpeg_q80,light,JPEG compression,True,False,False,False,False,False,False,3879.765,106.97,4.451,4.02,79,Andrew_Eroyla,67.9439,0.0629,Andrew_Eroyla,0.8961,0.4559,Unknown,False,Andrew_Eroyla,True,Andrew_Eroyla,True,ambiguous_band,True,Unknown,False,quality_router_lbph_reject,Andrew_Eroyla,True,ambiguous_band,quality_clear_dual_sface,True,True,4.702,8.138,12.627,4.572,12.865
49,Andrew_Eroyla,light_name.jpg,color_8bit,medium,Colour reduction,True,False,False,False,False,False,False,4721.629,107.28,7.516,0.62,81,Raean_Tamayo,76.3331,0.0089,Andrew_Eroyla,0.6642,0.8195,Unknown,False,Andrew_Eroyla,True,Andrew_Eroyla,True,ambiguous_band,True,Unknown,False,quality_router_lbph_reject,Andrew_Eroyla,True,ambiguous_band,quality_clear_dual_sface,True,True,4.748,7.976,12.519,4.726,12.829
50,Andrew_Eroyla,light_name.jpg,rgb565,light,Colour reduction,True,False,False,False,False,False,False,3970.152,106.44,5.914,4.47,80,Andrew_Eroyla,66.7292,0.1031,Andrew_Eroyla,0.8977,0.4524,Andrew_Eroyla,True,Andrew_Eroyla,True,Andrew_Eroyla,True,confident_accept,False,Andrew_Eroyla,True,quality_router_lbph_accept,Andrew_Eroyla,True,confident_accept,quality_clear_lbph_terminal,True,False,4.304,8.028,4.663,4.623,4.599
51,Andrew_Eroyla,light_name.jpg,gaussnoise_12,heavy,Gaussian noise,True,False,False,True,False,False,True,5048.983,106.49,10.613,3.34,83,Norbert_Audines,71.3509,0.0173,Andrew_Eroyla,0.8671,0.5156,Unknown,False,Andrew_Eroyla,True,Andrew_Eroyla,True,quality:noise,True,Andrew_Eroyla,True,quality_router_sface:noise,Andrew_Eroyla,True,quality:noise,quality_triggered_sface,False,True,4.826,8.483,12.651,8.338,8.879
52,Andrew_Eroyla,light_name.jpg,gaussnoise_8,medium,Gaussian noise,True,False,False,True,False,False,True,4451.539,106.45,8.46,2.81,81,Andrew_Eroyla,69.9808,0.0226,Andrew_Eroyla,0.8619,0.5256,Unknown,False,Andrew_Eroyla,True,Andrew_Eroyla,True,quality:noise,True,Andrew_Eroyla,True,quality_router_sface:noise,Andrew_Eroyla,True,quality:noise,quality_triggered_sface,False,True,4.592,8.252,13.338,8.219,8.204
53,Andrew_Eroyla,light_name.jpg,gaussnoise_4,light,Gaussian noise,True,False,False,False,False,False,False,4067.393,106.46,6.694,4.97,80,Andrew_Eroyla,69.1899,0.0485,Andrew_Eroyla,0.8962,0.4556,Unknown,False,Andrew_Eroyla,True,Andrew_Eroyla,True,ambiguous_band,True,Unknown,False,quality_router_lbph_reject,Andrew_Eroyla,True,ambiguous_band,quality_clear_dual_sface,True,True,4.57,8.104,14.294,4.629,13.771
54,Andrew_Eroyla,light_name.jpg,histeq,light,Histogram equalization,True,False,False,True,False,False,True,9070.056,128.11,10.624,3.5,81,Andrew_Eroyla,68.5908,0.0845,Andrew_Eroyla,0.8518,0.5444,Unknown,False,Andrew_Eroyla,True,Andrew_Eroyla,True,quality:noise,True,Andrew_Eroyla,True,quality_router_sface:noise,Andrew_Eroyla,True,quality:noise,quality_triggered_sface,False,True,4.547,10.266,12.413,8.171,8.281
55,Andrew_Eroyla,light_name.jpg,autolevel,light,Auto-levels,True,False,False,False,False,False,False,5291.658,123.1,6.677,4.84,79,Andrew_Eroyla,67.073,0.1009,Andrew_Eroyla,0.9007,0.4458,Unknown,False,Andrew_Eroyla,True,Andrew_Eroyla,True,ambiguous_band,True,Unknown,False,quality_router_lbph_reject,Andrew_Eroyla,True,ambiguous_band,quality_clear_dual_sface,True,True,4.403,8.808,12.936,4.822,12.766
56,Andrew_Eroyla,light_name.jpg,blur_7,heavy,Blur,True,True,False,False,False,False,True,27.757,107.81,0.343,2.34,82,Andrew_Eroyla,75.694,0.0769,Andrew_Eroyla,0.8785,0.4929,Unknown,False,Andrew_Eroyla,True,Andrew_Eroyla,True,quality:blur,True,Andrew_Eroyla,True,quality_router_sface:blur,Andrew_Eroyla,True,quality:blur,quality_triggered_sface,False,True,4.476,8.907,13.01,8.914,8.605
57,Andrew_Eroyla,light_name.jpg,blur_5,medium,Blur,True,True,False,False,False,False,True,82.354,107.72,0.395,2.61,82,Andrew_Eroyla,70.869,0.0738,Andrew_Eroyla,0.8878,0.4737,Unknown,False,Andrew_Eroyla,True,Andrew_Eroyla,True,quality:blur,True,Andrew_Eroyla,True,quality_router_sface:blur,Andrew_Eroyla,True,quality:blur,quality_triggered_sface,False,True,4.474,7.861,12.821,8.162,8.758
